,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
9674,0,1,0,0,2,1,2,1,0,0,2,0,0,2,0,1,2,88.55,179.25
9952,0,1,0,0,14,1,2,1,0,0,0,0,0,0,0,1,2,74.3,1096.25
8423,1,0,1,1,7,1,0,0,0,0,2,0,0,0,0,0,2,48.7,340.25
9879,1,0,0,0,41,1,2,1,0,2,2,0,2,2,0,1,2,104.7,4346.4
7890,0,1,0,0,11,1,2,1,0,0,0,0,0,2,0,1,1,84.8,906.85
4718,0,0,1,0,72,0,1,0,2,2,2,0,0,2,2,1,2,49.2,3580.95
1583,0,1,0,0,50,1,2,1,0,2,0,2,2,2,1,1,2,106.8,5347.95
1412,0,1,0,0,18,1,0,0,0,2,0,0,0,0,0,1,1,49.85,865.75
9309,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,1,2,70.4,204.7
9030,1,0,0,0,32,1,2,1,0,2,0,0,0,0,0,1,0,80.35,2596.15
2256,0,0,1,0,49,1,2,0,0,0,0,0,0,0,0,1,1,52.15,2583.75
7178,0,0,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,84.6,1115.2
2212,0,0,1,1,66,1,2,0,2,2,2,2,2,2,2,0,1,89.9,5958.85
2622,0,0,0,0,33,1,2,2,1,1,1,1,1,1,2,0,1,25.7,826.1
5682,1,0,0,0,4,1,0,2,1,1,1,1,1,1,1,0,3,19.95,68.2
3624,0,0,0,0,4,1,0,2,1,1,1,1,1,1,0,0,0,20.95,85.5
8656,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,69.9,69.9
9280,1,0,0,0,2,1,0,1,0,0,2,0,0,2,0,1,2,85.85,167.3
463,1,0,0,0,7,1,2,1,0,2,0,0,2,2,0,1,2,99.8,673.25
1754,1,0,0,0,20,1,0,2,1,1,1,1,1,1,0,0,3,19.4,415.4
4919,1,0,1,0,30,1,0,2,1,1,1,1,1,1,2,0,3,19.05,637.55
5960,0,0,0,0,31,1,0,1,2,0,2,2,0,0,0,0,2,87.6,2724.25
6726,1,0,1,1,67,1,0,2,1,1,1,1,1,1,2,1,3,20.8,1411.9
378,0,0,0,0,61,1,2,0,2,2,2,2,2,2,2,0,2,89.65,5308.7
3106,1,0,1,1,72,1,2,1,0,2,2,0,2,2,2,1,2,103.4,7372.65
1335,1,0,1,0,66,1,2,1,0,2,2,0,2,2,0,1,1,105.0,7133.25
10007,1,1,0,0,12,1,2,1,0,0,2,0,2,2,0,1,2,99.45,1200.15
2716,1,1,0,0,10,1,0,1,0,0,0,0,0,2,0,1,2,79.25,793.55
5362,0,0,0,0,54,1,2,1,2,0,2,0,2,2,1,1,0,103.95,5639.05
9705,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,35.25,35.25
8362,1,0,0,0,3,1,0,0,0,0,2,0,0,0,0,1,2,49.15,169.05
5464,1,0,1,1,20,1,0,0,0,0,2,0,0,0,0,1,2,49.6,939.8
1811,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.2,19.2
1894,1,0,0,0,17,1,0,1,0,2,2,0,0,2,0,1,1,90.95,1612.2
7122,1,1,0,0,37,1,2,1,0,0,2,0,2,2,0,1,2,101.1,3744.05
6606,1,0,0,1,9,1,0,0,0,2,0,0,0,0,0,1,2,50.1,484.05
1189,0,0,0,0,47,1,0,0,0,0,2,2,2,2,2,0,3,74.45,3510.3
6482,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.2,69.2
4291,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,3,46.0,492.1
3454,0,0,1,0,48,1,0,1,0,0,2,2,2,2,0,1,1,100.05,4834.0
9107,0,0,1,0,11,1,2,1,2,0,0,2,2,0,0,1,1,96.2,1222.05
8024,0,1,1,0,43,1,2,1,2,0,2,2,2,2,1,1,3,109.55,4830.25
4292,0,1,0,0,29,1,2,0,2,2,0,0,0,0,0,1,0,58.55,1718.95
9753,0,1,1,0,58,1,0,1,2,2,0,2,2,2,1,1,1,105.5,6205.5
7269,1,1,0,0,16,0,1,0,0,2,0,0,2,0,0,1,3,39.0,679.85
3992,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.6,131.65
9675,1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,90.55,90.55
1030,0,0,1,0,62,1,2,2,1,1,1,1,1,1,2,0,0,23.65,1416.75
4974,0,1,1,0,61,1,2,1,0,2,2,0,2,2,1,1,1,104.4,6405.0
7609,0,0,1,1,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,1502.65
3774,1,0,1,1,55,1,0,0,0,0,2,2,0,0,2,1,1,55.25,3119.9
6587,1,0,0,0,64,1,2,0,2,2,2,2,2,0,1,0,2,81.25,5567.55
7850,0,0,0,0,53,1,2,1,2,0,2,0,2,2,1,1,1,106.95,5785.5
1755,1,0,1,1,50,1,2,0,0,0,2,0,0,0,1,0,0,54.9,2614.1
4582,0,1,0,0,57,1,2,1,2,0,2,2,0,2,2,0,1,101.3,5779.6
9902,0,1,0,0,16,1,2,1,0,0,0,0,2,2,0,1,2,96.15,1529.2
110,1,0,1,0,53,1,2,1,2,2,0,0,2,0,0,1,2,96.75,5238.9
5852,1,0,0,0,35,1,0,2,1,1,1,1,1,1,2,0,3,19.25,677.9
7194,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.5,20.5
2917,0,0,1,0,28,1,0,1,2,0,0,0,2,2,0,1,3,92.35,2602.9
1515,0,0,1,0,3,1,0,2,1,1,1,1,1,1,0,1,3,19.6,55.25
9513,0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,94.3,424.45
9356,1,0,0,1,35,1,0,1,0,0,2,0,2,0,1,1,2,85.15,3030.6
8687,0,0,1,0,22,1,0,1,0,0,0,0,0,0,0,1,2,69.25,1554.0
2263,0,0,0,0,40,1,0,2,1,1,1,1,1,1,2,1,0,20.6,827.3
8771,1,0,0,0,2,1,0,1,0,0,2,0,2,2,0,0,2,94.95,178.1
6443,1,0,0,0,15,1,2,1,2,0,0,0,2,0,0,1,0,87.75,1242.2
893,1,0,0,0,30,1,2,1,2,2,0,0,0,2,0,1,1,94.3,2679.7
1490,0,0,1,1,52,1,2,1,2,2,2,0,0,2,0,0,0,98.15,4993.4
1850,1,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,20.1,936.85
324,1,0,0,0,69,0,1,0,2,2,0,2,2,2,2,1,0,60.05,4176.7
1215,0,0,1,1,62,1,2,0,0,0,0,0,2,2,0,1,1,70.45,4300.45
2933,1,0,1,0,53,1,2,1,0,2,0,2,0,2,1,0,0,97.75,5043.2
7157,0,0,0,0,16,1,2,1,0,2,2,0,0,2,0,1,1,95.6,1555.65
6760,1,0,1,1,31,1,0,2,1,1,1,1,1,1,0,1,2,20.65,702.05
8866,0,0,1,0,15,1,0,1,0,0,2,0,2,0,0,1,2,84.3,1308.4
6615,1,0,1,1,64,0,1,0,2,0,2,2,2,2,2,1,0,60.05,3845.45
10040,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,81.25
1129,1,0,0,1,2,1,0,2,1,1,1,1,1,1,0,0,3,19.25,48.35
9098,0,0,0,0,2,1,0,1,0,0,2,0,0,2,0,1,3,86.2,178.7
2918,1,0,0,0,54,1,0,1,2,0,2,0,2,0,0,0,3,89.8,4667.0
3084,0,0,0,0,68,1,0,0,2,2,2,2,2,2,2,1,1,82.45,5646.6
2795,0,0,1,1,20,1,0,2,1,1,1,1,1,1,0,0,3,20.35,442.6
4262,1,0,1,0,17,1,2,1,2,2,2,0,0,0,0,0,1,90.2,1454.15
798,0,1,1,0,70,1,2,1,0,0,0,0,0,0,2,1,1,75.65,5411.4
734,1,0,1,1,32,0,1,0,0,0,2,0,2,2,0,0,1,50.6,1653.45
4352,0,0,0,0,23,1,2,1,0,2,0,0,2,2,0,1,1,98.7,2249.1
2244,0,0,0,0,11,1,0,0,0,0,0,2,2,2,0,0,3,70.5,829.3
178,0,0,1,1,15,1,2,1,0,2,2,0,2,2,0,1,0,105.35,1559.25
6252,1,0,1,1,62,1,0,2,1,1,1,1,1,1,2,0,0,20.45,1297.35
7510,0,0,0,0,1,1,2,1,0,0,0,0,2,2,0,1,2,94.6,94.6
1174,1,0,0,0,15,1,0,1,0,0,2,2,2,2,0,1,2,101.35,1553.95
6270,0,0,1,1,21,1,0,0,0,0,0,0,0,0,0,1,2,44.95,926.25
1831,1,0,0,0,24,1,0,1,0,0,0,2,2,2,0,1,2,96.0,2122.45
8364,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.95,69.95
4607,0,0,1,0,72,1,2,0,2,2,0,2,0,0,2,0,0,64.75,4804.75
8310,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,70.9,70.9
7786,0,1,1,0,32,1,2,1,0,0,0,0,2,0,0,1,1,85.95,2628.6
3201,0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.0,109.2
198,1,0,1,1,72,1,2,1,0,2,2,2,2,2,2,1,0,112.25,8041.65
6100,0,0,0,0,2,1,2,0,0,2,0,0,0,0,0,0,3,54.15,101.65
4087,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.0,74.0
548,1,0,0,0,15,1,0,2,1,1,1,1,1,1,0,0,3,19.75,311.6
10192,1,0,1,0,9,0,1,0,0,0,0,2,2,0,0,0,3,40.65,328.95
4879,0,0,1,1,38,1,0,2,1,1,1,1,1,1,0,0,3,20.45,781.25
5094,0,0,1,0,72,1,2,1,2,0,2,2,2,2,2,1,1,110.15,7881.2
2532,1,0,0,0,72,1,2,1,2,2,2,2,2,2,2,0,0,113.4,8164.1
2314,1,0,1,1,11,1,0,1,0,0,0,0,2,2,0,0,2,90.6,1020.2
7136,0,0,1,1,31,1,2,1,0,2,0,0,0,2,0,1,2,91.15,2995.45
66,1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,78.9,3650.35
3260,1,0,1,1,29,1,0,1,0,0,0,0,0,0,0,1,2,70.75,1974.8
2572,0,0,0,0,1,1,2,1,0,0,0,0,2,2,0,1,2,94.6,94.6
6601,1,0,0,0,5,1,0,1,0,0,0,0,2,0,0,1,3,80.1,398.55
8552,0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,563.65
622,0,0,0,0,20,1,0,2,1,1,1,1,1,1,2,0,3,19.7,406.95
1681,0,0,1,1,26,1,2,0,0,2,0,2,0,0,0,1,2,60.05,1616.15
787,1,0,0,0,72,1,2,0,2,2,2,2,0,0,2,0,0,69.65,4908.25
3332,0,0,0,0,12,1,0,1,0,0,2,2,0,2,0,1,2,89.4,1095.65
6245,0,0,1,0,60,1,0,1,2,0,0,2,2,2,2,1,2,97.2,5611.75
9496,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,79.35
3280,1,0,1,0,67,1,0,0,2,2,0,2,0,2,2,1,1,69.2,4671.65
5076,0,0,1,1,22,1,0,2,1,1,1,1,1,1,1,0,0,20.75,452.35
9195,1,0,1,1,13,1,2,1,0,0,0,0,0,0,0,1,1,74.4,896.75
4630,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,1,2,75.55,166.3
6705,0,0,0,0,11,1,2,1,0,0,2,0,2,0,0,1,2,89.2,990.3
478,1,0,0,0,5,1,0,1,0,0,0,2,2,2,0,1,2,96.1,453.4
6437,1,1,1,1,58,1,2,1,2,2,0,2,0,0,1,1,0,89.85,5125.75
2647,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,3,55.55,55.55
5902,1,0,1,0,7,0,1,0,2,2,0,0,0,0,0,0,3,34.2,256.6
5505,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,48.45,48.45
1033,1,0,1,1,68,1,2,1,2,2,2,2,2,2,2,1,0,114.7,7849.85
7754,0,1,0,0,1,1,0,2,1,1,1,1,1,1,0,1,2,19.45,19.45
2598,0,0,0,0,72,1,2,1,2,2,2,2,2,2,2,1,2,114.9,8496.7
4436,0,0,0,0,3,1,0,2,1,1,1,1,1,1,0,0,3,19.85,63.75
9831,1,1,1,0,3,0,1,0,0,0,0,0,2,0,0,1,3,36.45,93.7
4872,1,0,1,0,50,1,0,2,1,1,1,1,1,1,2,0,3,20.55,1067.65
344,0,0,0,1,41,1,0,2,1,1,1,1,1,1,1,1,1,20.25,865.0
4353,1,1,1,0,31,1,2,1,2,0,0,0,2,0,0,0,2,89.45,2807.65
1871,1,0,1,0,47,1,2,1,0,0,0,0,2,2,1,1,1,95.2,4563.0
5884,1,0,1,1,12,1,2,2,1,1,1,1,1,1,2,1,0,24.0,269.65
9267,0,1,0,0,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,1145.7
10179,0,0,1,1,22,1,0,1,0,2,0,0,0,2,0,0,2,83.3,1845.9
2888,1,0,0,0,22,1,2,0,2,2,0,0,0,0,0,0,2,59.0,1254.7
220,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.15,268.35
9487,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,73.5,73.5
8764,1,1,0,0,24,1,2,1,0,2,0,0,2,2,0,1,2,101.25,2440.15
7770,0,0,1,0,53,1,0,1,2,2,2,0,2,2,1,1,0,106.1,5769.75
4016,1,0,0,0,42,1,0,2,1,1,1,1,1,1,1,0,0,19.8,849.9
4398,0,0,0,0,37,1,2,0,2,2,2,2,2,0,0,1,1,78.9,2976.95
4248,1,0,1,0,13,1,2,0,0,0,2,0,2,2,1,1,3,75.3,989.45
9451,0,0,1,0,34,1,2,1,0,0,0,0,2,2,0,1,2,97.65,3207.55
6388,1,1,0,0,54,1,0,0,0,0,2,2,0,2,1,0,0,65.25,3529.95
7537,0,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,2,78.65,78.65
4638,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.7,70.7
9296,0,0,0,0,7,1,0,1,0,0,0,0,2,0,0,1,3,80.3,526.7
4241,0,0,1,0,56,1,2,1,0,2,2,2,0,0,0,0,2,90.55,5116.6
8281,0,0,0,0,12,1,2,1,0,0,0,0,2,2,0,1,2,94.2,1046.1
9390,1,1,0,0,10,1,2,1,0,0,0,0,2,2,0,1,2,95.35,898.35
5710,0,0,1,1,24,1,0,2,1,1,1,1,1,1,2,1,3,19.7,494.05
2881,0,0,0,0,60,1,0,1,2,0,2,2,2,2,0,1,0,104.95,6236.75
1677,1,0,1,0,72,1,2,0,2,2,2,0,2,2,2,1,2,85.25,6083.1
8632,1,1,1,0,58,1,2,1,2,2,2,0,2,2,1,1,2,108.85,6287.25
901,0,0,1,0,56,1,0,1,2,2,2,0,2,2,1,1,1,105.6,6068.65
7640,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,44.95,85.15
2296,0,0,1,0,8,1,2,1,0,0,0,2,0,2,0,1,2,90.25,743.75
6695,1,0,1,1,22,1,0,0,0,0,0,2,0,0,0,1,2,51.1,1232.9
9964,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,3,70.85,70.85
296,0,0,1,1,71,1,0,1,0,0,2,0,0,0,2,0,2,76.05,5436.45
9412,1,0,0,0,7,1,2,1,0,2,0,0,2,2,0,1,2,99.8,673.25
4153,1,0,0,0,26,1,0,0,2,0,0,2,2,2,1,0,0,75.0,1908.35
4700,0,0,1,1,56,1,0,0,2,2,2,0,0,0,2,1,1,61.3,3346.8
27,1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,30.2
7346,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,69.5,69.5
7169,1,1,1,0,36,1,2,1,0,0,0,0,0,2,0,1,2,84.1,3021.6
7952,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,3,70.85,70.85
6263,1,0,0,1,54,1,0,0,0,2,2,2,0,0,1,1,2,61.0,3283.05
3248,0,0,1,1,36,1,2,1,2,0,2,0,2,2,0,1,1,104.5,3684.95
9173,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.6,19.6
2580,0,0,0,0,37,1,0,2,1,1,1,1,1,1,2,0,3,19.8,813.3
4720,1,0,0,0,46,0,1,0,2,0,2,2,0,0,2,0,3,38.25,1755.35
1370,0,0,1,1,39,1,0,2,1,1,1,1,1,1,2,1,0,19.85,854.8
10175,0,0,1,0,44,1,2,1,0,0,0,0,2,2,0,1,2,96.1,4364.1
7608,0,1,0,0,11,1,2,1,0,0,0,0,0,2,0,1,1,84.8,906.85
5549,0,0,1,1,72,1,2,1,2,2,2,2,2,2,2,1,1,116.4,8543.25
10211,0,0,1,0,13,1,2,1,0,2,2,0,2,0,0,0,2,94.1,1215.6
681,1,0,0,0,3,1,0,0,2,0,0,2,2,0,0,1,1,64.4,195.65
3159,1,0,0,0,31,1,0,1,0,2,2,0,2,2,0,1,2,101.4,3143.65
2987,1,0,0,0,12,0,1,0,0,2,0,2,0,0,0,0,3,34.0,442.45
1882,0,0,0,0,16,1,2,1,0,0,0,0,0,0,0,0,2,72.65,1194.3
1940,0,0,1,1,71,1,0,2,1,1,1,1,1,1,2,0,0,20.5,1500.95
3296,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.6,69.6
3534,0,0,1,1,72,1,0,1,2,2,2,2,2,2,2,1,0,108.65,7726.35
3729,0,0,1,0,2,1,2,1,0,0,0,0,2,0,0,1,2,84.05,134.05
6672,1,0,1,0,69,1,2,1,0,2,0,2,2,0,2,1,3,92.45,6460.55
1181,0,0,0,0,1,1,2,0,0,0,0,0,0,2,0,1,2,60.15,60.15
1375,1,0,1,1,61,1,0,1,0,2,0,2,2,2,1,1,0,98.45,6145.2
7851,1,0,0,0,54,1,0,1,2,2,0,2,2,2,1,1,1,105.4,5643.4
7599,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,70.0,70.0
626,0,1,1,0,66,1,2,1,0,2,2,0,2,2,1,0,1,104.6,6819.45
2112,0,0,1,1,72,0,1,0,2,2,2,2,2,2,2,0,0,64.45,4528.0
6225,1,0,0,0,58,1,2,2,1,1,1,1,1,1,2,1,1,25.3,1474.35
4540,0,0,0,0,22,1,0,1,0,2,0,0,0,2,0,1,3,84.3,1855.65
7559,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,2,68.95,68.95
6661,0,0,1,0,59,1,0,1,0,2,0,2,2,2,2,1,3,100.05,6034.85
4180,0,0,1,1,36,1,0,2,1,1,1,1,1,1,2,0,0,20.25,717.95
7487,1,1,1,0,7,1,2,1,0,0,0,0,0,0,0,1,3,74.4,527.9
7476,0,1,0,0,14,1,2,1,0,2,2,0,2,2,0,1,2,104.85,1531.4
1462,0,0,0,0,23,1,2,0,0,0,0,2,2,2,1,1,3,73.75,1756.6
2887,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.45,20.45
4899,0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,0,3,23.85,1672.1
684,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,2,49.9,49.9
7724,0,0,0,0,23,1,2,1,0,2,0,0,0,0,0,1,2,79.15,1676.95
8098,0,1,0,0,30,1,2,1,2,2,2,0,0,0,0,0,1,91.7,2758.15
1366,0,1,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,79.2,79.2
3916,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,1,3,80.85,80.85
2639,1,0,0,0,18,0,1,0,0,2,2,0,0,0,0,1,1,33.5,600.0
9766,1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,7611.85
9332,0,0,0,0,3,1,2,1,0,0,0,0,2,2,0,1,2,96.6,291.9
6240,1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,2,74.5,217.45
2300,1,0,1,1,34,1,2,1,0,2,0,0,2,2,0,1,0,97.7,3410.0
2938,1,0,0,0,40,1,2,2,1,1,1,1,1,1,2,1,3,24.6,973.95
8450,0,0,0,0,1,1,2,1,0,0,0,0,0,2,0,1,2,85.0,85.0
8940,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,2,71.65,71.65
5869,1,0,0,0,3,1,0,2,1,1,1,1,1,1,1,0,3,21.2,52.05
1979,0,0,1,1,14,1,2,1,0,2,0,0,0,2,0,1,0,90.9,1259.0
3803,1,0,0,0,50,1,0,2,1,1,1,1,1,1,1,0,1,20.15,989.05
6209,0,0,1,1,70,0,1,0,0,2,2,2,2,2,1,1,0,58.4,4113.15
7017,0,0,1,0,68,1,0,0,0,2,0,2,2,0,2,0,0,64.1,4326.25
7365,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,3,55.7,55.7
5071,1,0,0,0,15,1,2,1,0,2,0,2,0,2,0,0,2,95.7,1451.1
2280,1,0,1,0,53,1,2,1,2,0,2,0,0,2,0,0,2,93.9,5029.2
6603,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,69.9,69.9
4438,1,1,0,0,3,1,0,1,0,0,0,0,2,0,0,1,2,79.9,260.9
7148,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,2,34.7,34.7
4130,0,0,1,1,12,1,0,2,1,1,1,1,1,1,0,1,1,20.1,232.4
6497,0,0,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,84.6,1115.2
10128,1,0,0,0,2,1,2,1,0,0,0,0,2,0,0,1,2,85.65,181.5
1784,1,0,1,0,54,0,1,0,0,2,0,0,0,0,0,0,2,30.4,1621.35
3182,1,0,1,1,34,1,0,1,0,2,2,0,2,0,0,1,2,89.85,3091.75
494,1,0,0,0,22,0,1,0,0,2,2,0,0,2,1,1,0,43.75,903.6
7887,0,0,0,0,1,1,0,1,0,0,2,0,2,0,0,1,2,85.45,85.45
4454,0,0,0,0,16,1,2,1,0,0,2,0,0,2,0,1,2,88.45,1422.1
2860,0,0,1,1,66,1,2,1,2,2,2,0,2,2,2,0,0,109.25,7082.5
6472,0,0,1,1,5,1,0,1,0,0,0,0,0,0,0,0,1,69.95,320.4
4041,0,0,1,1,58,0,1,0,2,0,2,2,2,2,2,0,3,59.75,3624.35
7692,1,0,0,0,12,1,2,1,0,0,0,2,2,2,0,1,3,99.95,1132.75
2897,0,1,0,0,6,1,0,1,2,0,0,0,0,0,0,1,2,74.1,450.9
366,1,0,1,0,23,1,0,0,2,0,0,0,0,2,0,1,0,59.95,1406.0
849,1,0,0,1,52,1,2,0,2,2,0,2,2,2,2,1,3,85.15,4461.85
5570,0,0,1,1,70,1,2,1,2,2,2,2,0,0,2,0,0,93.9,6579.05
4740,1,0,0,0,22,1,0,2,1,1,1,1,1,1,1,0,1,20.3,467.15
9378,0,0,0,0,12,1,0,1,0,0,2,2,0,2,0,1,2,89.4,1095.65
4608,1,0,1,0,21,1,0,0,0,0,0,0,2,0,0,0,0,54.6,1125.2
2653,0,0,1,1,14,1,0,2,1,1,1,1,1,1,2,0,3,18.8,255.55
3503,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,44.9,44.9
1541,0,0,0,0,60,1,0,2,1,1,1,1,1,1,2,0,0,19.85,1128.1
6023,1,1,1,0,68,1,2,1,0,2,2,0,2,2,0,1,2,105.3,7299.65
9155,1,0,1,1,55,1,0,0,2,2,0,2,0,0,2,0,0,57.55,3046.4
322,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,44.8,44.8
2031,1,1,1,0,1,1,2,1,0,0,0,0,0,0,0,0,2,74.3,74.3
813,0,0,0,0,25,1,2,1,0,0,0,0,2,0,0,1,3,84.6,2088.05
8109,0,0,1,1,17,1,2,1,2,0,2,0,2,2,0,1,2,104.2,1743.5
9678,0,0,1,0,56,1,2,1,0,2,0,0,2,2,1,1,2,98.25,5508.35
9494,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,44.4,44.4
1079,1,0,0,0,2,1,0,1,0,0,0,0,0,2,0,1,2,80.95,171.15
2226,1,0,0,0,10,1,0,1,0,0,0,0,0,0,0,1,2,70.0,740.0
9433,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,20.15
8414,1,0,0,0,8,1,0,1,0,0,0,0,0,0,0,1,3,70.1,551.35
2705,0,0,1,0,24,1,0,2,1,1,1,1,1,1,1,0,1,20.4,482.8
7319,0,0,1,0,15,1,0,1,0,0,0,0,2,2,0,0,2,88.15,1390.6
4885,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,44.65,74.9
1164,1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,0,3,19.65,19.65
3261,0,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,0,20.1,1460.85
6785,1,0,1,1,2,1,2,0,2,0,0,0,0,0,0,0,3,56.7,113.55
1450,0,0,1,0,36,1,2,1,2,2,2,2,0,2,2,1,1,106.05,3834.4
4229,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,1,19.95,19.95
3862,1,0,1,0,50,1,2,1,0,2,0,0,2,2,1,1,2,98.25,4858.7
8565,1,0,0,0,10,1,0,1,2,2,2,0,2,2,0,1,2,104.4,1081.45
9797,1,1,1,0,1,1,2,1,2,0,0,0,0,0,0,1,2,80.3,80.3
7630,0,1,1,0,26,1,2,1,0,2,2,0,0,2,0,1,2,93.85,2381.55
8470,1,1,1,0,41,1,2,1,0,0,2,0,2,2,0,1,2,99.8,4259.3
9182,0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,528.35
10180,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,71.15,71.15
7095,1,0,1,0,7,1,0,1,0,0,0,0,0,0,0,1,2,69.35,451.1
4902,0,0,0,0,30,1,0,0,2,2,2,2,2,2,1,0,0,85.35,2530.4
4056,0,0,0,0,10,1,2,1,0,2,2,0,0,2,0,1,2,94.85,953.45
9819,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,3,50.6,50.6
2999,1,0,1,1,1,1,0,1,0,0,0,0,2,2,0,0,3,89.15,89.15
9319,0,0,0,0,2,1,0,1,2,2,0,2,0,0,0,1,2,86.25,181.65
1231,1,1,1,0,61,1,2,1,0,2,2,2,2,0,1,1,3,98.3,6066.55
1514,0,0,0,0,2,0,1,0,2,2,0,0,0,2,0,1,2,42.6,72.4
2313,0,0,1,1,71,1,2,1,2,2,2,0,2,0,2,0,0,100.5,7030.65
1451,0,0,1,0,16,1,2,1,0,2,0,0,2,2,0,1,2,100.0,1534.75
7337,1,0,0,0,16,1,0,1,2,0,0,0,2,2,0,1,2,94.25,1483.25
9157,0,0,1,0,58,1,2,1,2,2,2,0,2,2,2,1,0,109.45,6144.55
8807,0,0,0,0,29,1,0,0,2,2,2,0,0,2,0,1,0,68.85,1970.5
4321,0,0,1,0,15,1,2,0,0,0,0,0,0,0,0,1,2,51.1,711.15
8894,0,1,0,0,1,1,0,1,0,0,0,0,2,0,0,0,2,78.45,78.45
838,0,1,0,0,55,1,2,1,0,0,2,0,2,2,1,1,2,100.0,5509.3
10236,1,0,1,0,59,1,2,1,0,0,2,0,2,2,1,1,0,99.5,5961.1
4952,1,1,0,0,50,1,2,1,0,0,0,0,2,2,0,1,2,95.7,4816.7
6883,1,1,1,0,3,1,2,1,0,2,2,0,2,2,0,1,2,105.9,334.65
8777,0,0,1,1,14,1,2,1,0,0,0,2,2,0,0,1,2,91.65,1301.0
3567,0,0,1,1,28,1,0,2,1,1,1,1,1,1,0,1,0,19.55,543.8
9564,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,1,2,81.1,81.1
